City_Id,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,gat,31.61,34.7642,81.81,100,2,5.32,IL,1660156850
368,newport,51.5877,-2.9984,88.12,35,9,6.73,GB,1660156853
369,beisfjord,68.3751,17.5988,59.05,95,100,6.91,NO,1660156856
370,batemans bay,-35.7167,150.1833,52.11,87,100,4.94,AU,1660156858
371,bontang,0.1333,117.5,76.01,89,89,5.64,ID,1660156861
372,esperance,-33.8667,121.9,56.08,72,30,20.02,AU,1660156863
373,kulhudhuffushi,6.6221,73.07,81.18,86,4,15.79,MV,1660156866
374,byron bay,-28.65,153.6167,50.94,77,99,6.98,AU,1660156868
375,sanok,49.5557,22.2056,64.27,100,23,1.81,PL,1660156871
376,azacualpa,15.3433,-88.5514,79.45,65,88,3.53,HN,1660156873
377,kushiro,42.975,144.3747,66.81,97,28,4.25,JP,1660156875
378,mecca,21.4267,39.8261,90.54,58,47,13.44,SA,1660156704
379,yavatmal,20.4,78.1333,73.0,94,100,14.92,IN,1660156880
380,suna,57.8338,50.0588,56.91,86,98,6.35,RU,1660156883
381,abha,18.2164,42.5053,69.62,88,93,5.75,SA,1660156887
382,vestmannaeyjar,63.4427,-20.2734,52.79,82,0,13.8,IS,1660156892
383,itarema,-2.9248,-39.9167,81.41,67,3,18.41,BR,1660156894
384,chivacoa,10.1603,-68.895,74.44,93,100,4.76,VE,1660156899
385,painesville,41.7245,-81.2457,79.65,58,0,5.75,US,1660156901
386,alto araguaia,-17.3147,-53.2153,69.57,27,98,13.33,BR,1660156904
387,gravdal,68.1214,13.5031,55.29,100,75,14.97,NO,1660156906
388,gornoye loo,43.7129,39.6049,76.78,81,25,5.46,RU,1660156911
389,dikson,73.5069,80.5464,42.13,94,99,8.12,RU,1660156871
390,kimbe,-5.5502,150.1429,74.77,95,100,3.76,PG,1660156916
391,karoi,-16.8099,29.6925,61.48,41,0,2.53,ZW,1660156918
392,boyuibe,-20.4167,-63.2833,71.49,19,0,7.11,BO,1660156921
393,bozhou,33.8772,115.7703,77.4,92,100,3.67,CN,1660156923
394,saint-ambroise,48.5501,-71.3324,79.03,43,6,7.61,CA,1660156925
395,homer,59.6425,-151.5483,57.78,86,0,9.22,US,1660156928
396,basco,20.4487,121.9702,82.72,76,98,3.51,PH,1660156930
397,buchanan,5.8808,-10.0467,75.78,86,100,13.35,LR,1660156935
398,salalah,17.0151,54.0924,77.09,100,100,5.75,OM,1660156938
399,la ronge,55.1001,-105.2842,62.44,49,26,4.25,CA,1660156940
400,kudahuvadhoo,2.6708,72.8944,81.7,79,99,5.55,MV,1660156943
401,kyra,49.5776,111.9753,52.11,59,100,4.65,RU,1660156945
402,coro,11.4045,-69.6734,86.13,68,100,17.43,VE,1660156947
403,blackfoot,43.1905,-112.345,86.88,21,61,6.44,US,1660156950
404,pandan,14.0453,124.1694,78.73,82,100,4.05,PH,1660156952
405,mabaruma,8.2,-59.7833,77.72,92,100,4.07,GY,1660156957
406,westport,41.1415,-73.3579,87.12,61,75,10.36,US,1660156820
407,emba,48.8264,58.1442,77.32,35,11,9.01,KZ,1660156962
408,chifeng,42.2683,118.9636,65.82,67,100,1.77,CN,1660156964
409,sayyan,15.1718,44.3244,64.65,66,65,2.01,YE,1660156967
410,mananjary,-21.2167,48.3333,66.43,80,100,6.91,MG,1660156969
411,cuiluan,47.72,128.648,52.52,96,99,3.74,CN,1660156972
